sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego,remuneracao
2,38,5,99,9,44,0,5,41.8,4183.14
1,42,6,9,9,40,0,9,21.9,2394.46
2,52,7,9,9,44,0,10,5.9,3985.96
1,48,6,8,7,44,0,5,3.6,1621.21
2,33,5,8,9,44,0,10,43.9,2438.73
2,25,4,99,9,40,0,8,9.9,8222.72
2,35,5,8,9,44,0,8,37.9,3668.74
1,30,5,99,9,40,0,10,21.5,4045.55
1,31,5,99,7,40,0,10,92.1,1182.11
2,38,5,99,3,44,0,10,127.9,1130.36
2,35,5,99,9,30,0,9,29.4,2516.95
1,37,5,9,7,44,0,5,4.1,1281.24
2,28,4,8,9,40,0,10,10.4,2501.49
2,22,3,8,8,44,0,3,32.6,1542.06
2,35,5,99,9,36,0,10,58.9,4359.8
1,32,5,8,7,44,0,7,6.9,1486.34
2,50,7,8,8,40,0,10,211.9,1816.63
2,62,7,8,7,44,0,8,50.5,1673.98
1,37,5,9,7,44,0,5,34.8,1552.37
1,23,3,8,9,44,0,6,31.1,1700.64
1,24,3,4,7,44,0,9,64.9,2017.21
1,19,3,8,7,44,0,3,3.9,1553.74
2,46,6,9,7,44,0,2,11.7,1025.27
2,58,7,99,7,40,0,10,391.4,4138.84
2,65,8,99,7,30,0,10,377.9,2099.09
1,33,5,8,7,44,0,10,42.1,1908.25
2,26,4,2,7,44,0,5,12.9,1166.56
1,57,7,2,9,44,0,5,10.9,770.65
1,43,6,99,2,40,0,10,277.9,1687.51
2,32,5,99,7,40,0,9,94.8,2605.13
1,47,6,99,7,30,0,10,324.9,5760.38
2,55,7,9,7,44,0,4,12.9,1050.0
1,60,7,9,7,44,0,3,76.9,2294.95
2,46,6,99,9,30,0,10,237.9,2628.41
2,33,5,8,9,44,0,6,3.6,1057.46
2,26,4,8,6,44,0,8,9.4,1149.41
1,33,5,99,7,30,0,10,85.5,2996.92
1,41,6,8,9,44,0,7,59.8,6890.13
2,33,5,8,7,44,0,5,5.3,1261.87
1,64,7,99,7,44,0,6,498.8,7898.55
2,39,5,8,6,44,0,10,42.4,1284.3
2,29,4,8,9,40,0,3,88.9,9645.84
2,31,5,8,7,44,0,5,24.5,1526.19
1,25,4,9,5,44,0,4,13.9,1154.63
1,23,3,99,5,40,0,10,6.9,1477.51
2,21,3,9,7,44,0,6,4.9,1184.53
2,38,5,8,7,44,0,5,2.8,1217.74
1,38,5,99,7,40,0,10,21.9,1402.95
1,52,7,99,8,40,0,10,96.8,1636.17
1,31,5,8,7,44,0,7,36.8,3094.87
1,47,6,8,4,44,0,4,59.9,2126.41
2,49,6,8,7,44,0,5,36.9,1028.42
2,51,7,2,4,44,0,3,18.9,1592.7
1,28,4,9,7,44,0,5,1.9,1973.62
2,22,3,8,8,44,0,5,36.7,1456.44
2,45,6,99,9,20,0,9,275.3,4700.32
1,39,5,2,7,40,0,6,33.7,1415.61
1,51,7,99,9,40,0,10,222.4,5071.48
1,23,3,8,7,44,0,3,9.3,1318.28
2,48,6,99,9,36,0,9,219.9,1713.53
2,56,7,99,9,30,0,10,225.9,11621.14
1,42,6,99,9,40,0,10,126.6,12760.71
2,43,6,99,9,20,0,10,147.8,6548.24
2,42,6,9,7,40,0,10,13.0,1109.43
1,22,3,4,7,44,0,8,21.9,1070.74
1,39,5,8,6,44,0,4,51.3,1024.92
1,40,6,8,7,13,0,6,92.8,883.12
1,36,5,8,6,40,0,7,9.6,989.29
1,21,3,9,7,44,0,7,10.5,1089.62
1,19,3,2,7,44,0,5,4.8,1043.65
1,24,3,4,8,44,0,5,3.9,1313.14
1,30,5,2,7,44,0,9,138.8,3724.1
2,19,3,8,5,44,0,4,9.5,1105.94
2,36,5,8,7,44,0,4,1.4,911.02
1,33,5,8,7,44,0,7,58.2,1267.06
2,55,7,99,7,40,0,10,372.6,1455.0
1,22,3,9,7,44,0,3,10.9,762.23
1,52,7,99,9,35,0,9,352.9,24373.55
2,30,5,8,7,44,0,2,50.9,1648.06
1,48,6,8,9,44,0,6,189.5,5778.78
1,43,6,8,4,44,0,3,33.1,1163.1
2,25,4,8,7,44,0,5,4.4,936.74
2,34,5,8,5,44,0,2,65.9,1273.76
1,45,6,99,9,40,0,8,184.1,23354.16
1,31,5,8,7,42,0,10,1.5,1452.09
2,47,6,99,6,40,0,10,30.9,1039.31
1,21,3,9,7,44,0,6,23.2,1328.34
2,19,3,8,7,20,0,8,4.3,576.18
2,52,7,8,7,44,0,2,66.9,1801.93
1,34,5,8,7,44,0,9,32.7,4731.16
1,42,6,9,5,44,0,6,63.4,1873.26
1,57,7,99,9,36,0,10,224.4,4165.03
2,20,3,8,7,44,0,9,19.8,1581.6
1,24,3,8,7,22,0,2,17.9,1020.03
2,54,7,99,5,30,0,10,331.8,1778.24
2,62,7,99,9,30,0,10,415.5,3156.41
2,45,6,8,7,44,0,6,36.9,1553.4
1,23,3,99,8,40,0,6,59.7,4619.7
1,24,3,2,9,44,0,5,15.9,1630.27
2,43,6,99,4,40,0,8,94.5,1130.35
1,36,5,9,7,44,0,2,32.9,1045.7
1,41,6,9,5,44,0,8,21.3,1637.12
2,28,4,8,7,44,0,8,11.8,1319.85
2,55,7,8,7,44,0,10,28.8,918.57
2,42,6,2,8,30,0,9,188.8,2548.91
1,27,4,2,6,44,0,4,9.9,1297.3
1,40,6,8,7,44,0,2,2.4,1838.61
1,60,7,8,9,5,0,6,112.9,686.78
2,31,5,99,7,40,0,10,13.5,1409.07
1,40,6,8,7,44,0,2,22.9,1244.88
1,37,5,8,7,39,0,10,156.5,5582.65
2,47,6,99,9,20,0,9,213.9,2428.8
1,61,7,99,6,30,0,10,476.3,2255.77
2,44,6,99,9,40,0,9,71.9,2990.69
2,42,6,8,9,44,0,8,77.1,4430.62
1,56,7,8,2,44,0,8,3.6,2166.67
2,36,5,8,7,44,0,5,28.9,1426.96
1,36,5,8,7,42,0,9,67.8,1010.78
1,29,4,9,7,44,0,6,6.2,1233.7
1,36,5,9,7,44,0,2,29.9,2130.04
1,25,4,9,7,44,0,9,35.1,1514.77
1,46,6,8,7,44,0,10,27.3,1546.9
1,57,7,99,7,40,0,10,438.3,5347.19
1,61,7,99,8,30,0,7,377.8,3376.82
2,36,5,8,9,20,0,10,9.9,1819.23
2,48,6,9,7,44,0,4,89.8,1117.66
2,28,4,99,9,30,0,8,23.9,5364.0
1,47,6,99,9,20,0,10,40.9,5314.23
2,42,6,8,9,44,0,5,10.9,2650.85
2,30,5,8,7,36,0,10,0.4,738.71
1,45,6,99,8,30,0,10,244.8,9165.7
2,43,6,8,9,44,0,5,11.2,1894.66
1,61,7,8,4,44,0,7,28.3,2111.69
1,44,6,8,7,44,0,2,3.9,1876.27
1,25,4,99,7,30,0,8,6.5,433.76
1,22,3,2,7,44,0,6,2.8,1697.66
1,54,7,8,5,40,0,7,320.4,16538.67
1,24,3,8,7,44,0,4,2.2,1442.31
2,33,5,8,7,44,0,8,2.1,1791.34
2,57,7,99,9,30,0,10,100.9,3783.6
2,47,6,99,7,40,0,10,183.0,1492.69
1,28,4,8,7,44,0,9,20.5,1734.52
1,24,3,8,7,44,0,5,61.4,1351.85
1,35,5,8,7,44,0,8,147.6,5694.25
2,34,5,9,7,44,0,7,3.9,1050.28
1,63,7,99,9,40,0,10,211.3,17080.7
1,43,6,8,4,44,0,9,30.3,1194.4
2,59,7,99,7,40,0,7,410.9,10027.44
1,30,5,8,7,44,0,6,41.6,2147.59
2,40,6,99,9,25,0,10,201.9,2082.48
2,30,5,2,6,44,0,3,26.0,1097.28
2,37,5,8,6,44,0,8,2.3,1170.82
1,42,6,8,9,40,0,10,113.8,23511.97
1,25,4,8,7,44,0,2,1.9,1995.18
1,36,5,99,7,40,0,10,143.0,5928.34
1,38,5,99,7,40,0,10,104.1,2582.32
2,53,7,99,4,40,0,10,304.6,1847.76
2,37,5,99,7,30,0,10,93.9,4981.3
2,32,5,8,7,44,0,3,32.9,905.7
2,45,6,9,7,22,0,2,61.9,1124.79
1,49,6,8,5,44,0,8,134.9,1440.6
2,32,5,8,7,44,0,7,34.7,1767.47
1,65,8,99,9,40,0,10,10.6,3798.11
1,36,5,99,9,30,0,10,81.0,4903.06
2,35,5,8,7,44,0,3,31.9,2146.49
2,58,7,99,9,20,0,10,175.4,7053.04
1,31,5,99,9,40,0,10,3.3,882.98
2,21,3,9,7,44,0,4,1.6,908.4
1,43,6,99,9,40,0,10,246.0,8026.15
1,32,5,4,7,28,0,3,9.6,2583.74
2,38,5,99,7,44,0,10,170.8,5304.94
2,44,6,8,7,44,0,9,5.0,1271.2
2,29,4,99,9,40,0,10,11.0,1538.29
1,30,5,2,9,44,0,3,31.7,2822.25
1,30,5,99,9,44,0,10,93.9,3837.51
1,52,7,8,7,44,0,7,71.9,4142.71
2,48,6,8,7,44,0,7,18.8,1460.7
2,64,7,99,9,30,0,10,334.4,5720.36
2,59,7,8,6,44,0,10,11.0,1196.29
1,37,5,8,2,44,0,6,55.9,1086.96
2,42,6,8,7,44,0,7,7.3,1028.11
1,20,3,9,7,44,0,4,6.9,1023.96
2,45,6,99,9,40,0,9,81.0,5355.47
2,42,6,8,9,30,0,10,2.4,9590.09
1,38,5,8,7,44,0,9,57.9,1227.28
1,21,3,9,7,44,0,4,0.9,1391.56
1,29,4,8,7,44,0,3,6.4,2682.49
1,30,5,8,7,44,0,8,29.3,1740.15
2,24,3,9,7,44,0,6,0.4,781.37
2,34,5,2,7,44,0,9,48.8,1705.85
2,65,8,99,9,20,0,8,166.2,2850.27
2,43,6,8,7,44,0,3,21.3,2523.57
1,26,4,8,2,44,0,6,10.9,1069.42
1,37,5,8,7,44,0,4,1.4,2724.25
1,19,3,8,7,38,0,10,19.0,1152.2
1,61,7,8,5,44,0,2,47.9,1483.34
1,47,6,99,7,36,0,5,46.9,1218.33
1,53,7,8,7,36,0,7,8.7,1383.48
2,62,7,99,9,40,0,10,453.9,4035.1
1,55,7,2,2,44,0,3,2.7,938.87
1,39,5,99,8,40,0,7,14.0,1098.82
1,43,6,8,7,44,0,8,49.9,1432.51
1,45,6,99,9,40,0,9,275.9,1537.7
1,21,3,8,7,44,0,10,2.3,1234.4
2,34,5,99,7,44,0,10,160.6,1394.54
1,34,5,8,7,44,0,8,7.7,1018.2
2,21,3,8,8,44,0,8,10.9,1223.8
1,24,3,9,7,44,0,5,9.5,1232.51
2,37,5,99,9,40,0,7,185.4,2294.49
2,26,4,99,7,30,0,10,44.9,1694.5
1,46,6,9,7,36,0,6,15.3,1878.87
2,43,6,8,5,40,0,9,10.9,1092.46
1,44,6,99,6,40,0,9,225.5,2544.55
1,27,4,8,7,44,0,10,3.7,427.96
1,22,3,8,7,44,0,10,4.9,1929.35
2,51,7,8,7,44,0,4,133.9,1181.46
2,38,5,8,9,44,0,4,61.9,1453.13
2,42,6,99,9,25,0,10,21.3,2365.64
2,28,4,8,7,44,0,4,23.2,3005.71
1,32,5,8,7,44,0,9,3.7,1054.84
1,24,3,9,7,44,0,2,5.9,1265.18
1,50,7,99,7,40,0,9,248.9,1799.86
2,57,7,99,9,30,0,10,20.4,2194.44
1,50,7,8,7,44,0,10,15.3,2615.87
2,34,5,2,9,44,0,5,95.2,1610.52
1,44,6,8,9,44,1,6,189.4,4932.17
1,22,3,8,7,44,0,10,23.5,1622.49
1,31,5,8,9,44,0,10,45.5,5247.85
1,36,5,2,7,44,0,2,66.9,1045.26
1,34,5,9,7,44,0,4,29.9,1058.96
2,31,5,8,4,44,0,2,5.9,1993.66
2,29,4,9,9,13,0,2,23.9,946.18
1,35,5,8,10,44,0,9,4.5,12329.76
2,44,6,99,7,30,0,9,14.9,1947.89
1,33,5,8,7,42,0,7,45.5,1643.89
2,60,7,99,7,40,0,10,149.0,1094.61
1,55,7,8,7,40,0,9,280.9,14180.74
1,41,6,8,7,44,0,6,77.9,2669.43
2,25,4,99,7,40,0,8,43.2,979.63
1,49,6,8,2,44,0,7,86.9,1643.52
1,45,6,2,7,40,0,10,11.9,948.44
1,65,8,99,9,36,0,9,207.4,2732.93
1,35,5,8,6,44,0,10,94.8,1836.62
1,28,4,4,6,44,0,4,14.4,1212.01
1,62,7,99,9,40,0,9,395.3,20141.0
1,27,4,8,7,44,0,9,1.9,1946.35
1,43,6,8,9,19,0,5,155.9,2248.24
2,36,5,99,7,36,0,10,4.9,3507.13
2,36,5,8,7,44,0,4,8.9,1297.41
1,42,6,2,7,44,0,7,95.9,8022.04
1,34,5,99,9,20,0,10,13.8,8841.41
1,35,5,9,7,44,0,6,44.3,1787.73
1,43,6,8,7,42,0,10,209.9,11965.22
2,48,6,8,9,44,0,5,19.8,2568.94
2,25,4,99,7,40,0,10,11.6,1497.94
2,51,7,99,9,40,0,10,350.1,4234.01
2,21,3,8,7,44,0,5,32.9,1336.22
1,23,3,8,7,44,0,2,68.8,2011.76
2,60,7,99,7,40,0,10,443.4,2997.21
2,58,7,99,9,30,0,10,58.5,5732.62
1,32,5,8,2,44,0,8,27.4,1743.69
2,43,6,99,7,40,0,8,164.8,1411.6
2,61,7,99,9,30,0,10,444.9,1686.18
1,32,5,2,5,44,0,4,5.9,1328.0
1,69,8,99,4,30,0,10,361.9,1652.98
2,40,6,99,9,30,0,10,107.1,7333.4
2,29,4,8,7,44,0,2,5.2,1049.71
1,54,7,9,7,44,0,2,56.8,1132.91
1,51,7,8,4,44,0,10,2.3,1632.5
2,37,5,99,7,44,0,10,44.6,1205.2
2,35,5,8,7,8,0,7,65.9,3097.32
1,42,6,2,7,44,0,6,222.9,1783.0
1,39,5,8,7,36,0,4,209.9,2943.85
1,46,6,99,3,44,0,10,199.9,1458.62
1,36,5,8,8,42,0,6,139.4,2519.59
2,48,6,99,5,30,0,10,259.3,1560.91
1,56,7,99,9,40,0,10,128.2,5153.24
1,25,4,9,7,44,0,5,12.9,1030.74
2,42,6,8,7,44,0,3,65.9,2372.37
1,64,7,99,9,30,0,8,437.4,8354.09
1,46,6,8,7,38,0,8,173.9,2139.65
2,54,7,8,7,44,0,7,121.9,1297.48
1,32,5,99,9,40,0,10,80.0,4060.49
2,47,6,99,9,25,0,10,263.1,6466.68
1,26,4,8,7,44,0,3,13.9,1021.5
1,22,3,9,7,44,0,5,0.9,1376.66
1,34,5,8,2,44,0,9,15.7,1988.13
2,19,3,8,7,44,0,5,10.9,1106.34
1,41,6,8,4,44,0,9,25.8,1485.1
2,55,7,8,7,44,0,3,53.9,1072.17
2,30,5,99,9,40,0,10,71.9,4280.52
2,32,5,8,7,44,0,3,27.5,1947.24
1,30,5,8,4,44,0,9,16.3,1583.97
1,47,6,99,7,40,0,10,284.6,3594.91
1,48,6,9,7,44,0,7,42.9,1574.02
2,42,6,8,7,44,0,5,133.2,6210.0
2,39,5,8,7,44,0,2,0.7,894.22
1,47,6,99,9,30,0,10,23.2,10198.17
2,27,4,8,6,44,0,7,0.9,1176.24
1,25,4,2,9,44,0,10,23.5,3175.13
1,50,7,2,7,44,0,8,2.3,1398.99
1,51,7,99,9,40,0,10,177.9,6664.95
1,48,6,9,7,44,0,5,7.7,2115.6
2,37,5,2,9,44,0,7,31.6,4877.82
1,22,3,8,7,44,0,9,6.9,1238.28
2,52,7,99,9,20,0,10,147.9,5951.61
1,58,7,8,7,44,0,10,50.4,4128.62
2,24,3,2,9,44,0,4,13.7,1256.64
1,58,7,8,8,42,0,8,199.4,9390.74
1,58,7,2,9,20,0,3,117.9,2954.0
2,49,6,99,7,40,0,7,211.8,1760.13
2,56,7,99,2,36,0,9,226.9,1183.14
1,40,6,8,7,33,0,9,75.9,5577.78
2,34,5,9,2,40,0,10,22.8,1075.31
1,47,6,8,7,44,0,6,81.0,1159.73
2,53,7,2,7,44,0,7,209.7,619.67
1,70,8,2,3,44,0,7,263.9,1769.44
1,48,6,99,9,40,0,10,215.9,4565.27
1,30,5,8,7,44,0,3,14.9,769.65
1,45,6,8,7,36,0,3,50.9,1717.79
1,36,5,9,7,44,0,6,5.9,1906.92
1,28,4,8,7,44,0,8,2.5,1398.45
2,25,4,2,7,36,0,3,2.3,996.23
1,31,5,99,7,40,0,9,10.9,1504.52
1,56,7,2,7,44,0,7,12.6,1796.61
2,44,6,8,7,44,0,2,23.9,1066.38
1,54,7,99,9,30,0,10,190.0,8281.3
2,31,5,99,7,40,0,10,21.9,1346.94
2,43,6,8,9,44,0,7,47.2,8390.14
2,46,6,8,4,44,0,10,24.9,1267.17
1,35,5,8,7,44,0,8,1.7,957.84
1,37,5,8,6,44,0,8,209.9,2841.23
1,42,6,2,7,44,0,8,131.9,1994.72
1,54,7,8,5,44,0,7,13.4,1605.56
2,30,5,8,7,44,0,5,93.9,1478.78
1,28,4,2,1,30,0,7,11.3,1078.07
2,24,3,8,7,36,0,10,27.9,2316.12
2,37,5,8,7,44,0,9,96.8,1504.03
1,51,7,2,5,44,0,9,57.7,1761.43
1,42,6,8,7,44,0,5,122.9,1285.23
2,24,3,9,9,44,0,5,2.2,999.97
2,40,6,99,7,40,0,8,6.9,1456.38
2,45,6,8,9,35,0,6,130.9,1895.83
2,33,5,9,7,22,0,9,38.9,970.65
2,43,6,99,9,40,0,10,129.7,4208.39
2,46,6,99,7,40,0,10,152.7,1462.03
1,19,3,2,7,20,0,9,1.2,512.28
2,34,5,8,9,20,0,7,11.5,1430.32
2,35,5,99,9,30,0,10,151.8,2821.17
1,33,5,99,5,40,0,10,34.2,9037.66
1,20,3,8,7,44,0,6,4.5,1257.88
1,54,7,99,10,30,0,9,237.3,4594.5
1,28,4,8,7,44,0,7,11.5,1775.71
1,59,7,8,7,44,0,2,111.9,1863.05
1,26,4,8,7,44,0,5,22.3,1265.35
1,25,4,8,7,44,0,7,39.4,2293.22
1,30,5,8,7,44,0,2,18.9,1295.21
2,32,5,9,7,44,0,4,42.9,1878.25
1,25,4,9,7,44,0,10,36.6,1046.03
2,66,8,99,9,30,0,10,318.1,4716.55
1,50,7,8,7,38,0,8,60.9,2766.0
1,26,4,8,9,40,0,10,39.1,7490.18
2,59,7,99,9,40,0,10,44.9,410.76
2,47,6,99,9,40,0,9,173.9,4028.15
2,45,6,8,5,44,0,3,13.9,1064.58
2,23,3,9,7,44,0,4,19.9,1092.93
2,35,5,99,7,30,0,10,11.6,1825.5
1,29,4,8,6,44,0,7,78.1,1307.34
2,24,3,8,7,44,0,5,46.9,1991.45
2,18,3,99,7,30,0,10,4.9,1050.67
2,51,7,99,5,30,0,10,183.0,1680.9
2,54,7,99,9,40,0,10,35.9,666.38
2,26,4,8,7,30,0,7,25.8,6452.5
1,30,5,9,7,44,0,3,3.9,2727.71
1,23,3,8,7,44,0,7,49.4,1530.14
2,30,5,99,9,30,0,10,11.0,2134.39
2,57,7,99,6,40,0,10,279.5,1659.68
2,30,5,9,7,44,0,10,9.9,1075.39
2,41,6,99,9,36,0,10,54.9,1199.77
2,28,4,8,7,44,0,2,26.9,1038.27
1,22,3,8,7,44,0,7,5.5,1058.41
1,48,6,8,2,44,0,8,4.9,1563.06
1,52,7,8,5,44,0,4,3.9,1157.53
1,26,4,9,7,36,0,4,1.9,1422.94
2,57,7,99,9,25,0,10,175.4,4155.49
1,58,7,8,6,44,0,9,173.9,1855.0
2,61,7,8,9,44,0,8,1.9,2368.13
1,50,7,99,7,44,0,10,188.9,2780.9
2,54,7,99,9,40,0,10,113.4,5297.51
1,33,5,99,7,30,0,10,80.7,4719.77
2,53,7,99,9,30,0,10,10.9,2275.03
2,46,6,8,7,36,0,9,119.3,1730.06
1,26,4,9,7,44,0,4,1.5,1151.47
1,31,5,2,3,44,0,5,19.9,1290.55
1,40,6,8,7,44,0,10,30.4,5362.31
2,26,4,8,7,44,0,7,69.6,1096.18
2,55,7,99,7,25,0,10,441.9,4346.42
1,45,6,99,9,30,0,10,6.9,24004.47
1,31,5,8,7,44,0,5,4.9,1234.32
2,40,6,8,9,36,0,2,87.7,3101.61
1,32,5,8,7,44,0,6,107.2,3084.6
2,21,3,9,7,44,0,4,5.4,1476.46
1,22,3,8,6,44,0,8,4.3,1267.46
2,26,4,8,7,26,0,7,12.4,861.01
2,60,7,99,6,30,0,10,23.9,3292.3
2,46,6,9,7,40,0,7,30.0,1653.81
2,44,6,8,7,36,0,8,64.9,1915.62
2,38,5,99,7,30,0,10,19.5,2194.65
2,26,4,9,7,44,0,4,12.3,940.19
2,48,6,8,5,44,0,3,6.2,940.61
1,28,4,99,7,40,0,8,80.8,1744.67
1,44,6,99,5,30,0,10,295.0,3747.67
1,36,5,2,7,44,0,4,237.9,5978.33
2,40,6,9,9,44,0,6,70.9,6944.37
2,45,6,99,9,30,0,10,197.3,4428.7
1,19,3,8,5,44,0,5,2.2,987.27
1,40,6,8,7,41,0,7,18.9,2339.96
1,42,6,8,2,44,0,3,14.2,1078.64
2,24,3,8,7,44,0,8,14.9,1193.26
1,53,7,99,9,40,0,10,51.9,10386.26
1,31,5,4,2,44,0,3,19.5,1025.26
2,52,7,99,9,30,0,10,217.6,1858.47
1,38,5,8,7,44,0,4,39.9,1962.88
1,35,5,8,3,44,0,6,39.9,2086.59
1,47,6,8,7,44,0,4,26.9,4990.55
2,39,5,99,9,40,0,10,214.9,7144.23
2,50,7,8,5,40,0,10,9.8,1105.92
2,44,6,9,7,20,0,10,18.3,489.35
1,39,5,2,7,0,0,5,193.9,5218.52
1,20,3,9,7,44,0,7,20.7,1469.9
1,31,5,8,6,36,0,3,38.4,1817.02
1,53,7,8,7,44,0,8,73.9,1611.65
2,32,5,99,9,40,0,10,9.9,6209.39
2,44,6,8,7,44,0,7,192.9,1438.36
1,53,7,8,7,36,0,3,36.9,1072.59
2,56,7,99,9,40,0,10,80.2,6088.3
2,36,5,8,9,44,0,6,75.5,2281.63
1,31,5,99,8,40,0,8,76.9,2782.53
1,22,3,8,7,44,0,5,2.5,1059.71
1,30,5,99,7,40,0,10,46.7,1414.63
1,45,6,99,7,40,0,10,222.2,10800.68
2,35,5,8,7,44,0,9,9.6,1220.48
1,21,3,8,6,42,0,4,35.9,1961.44
1,43,6,99,9,40,0,10,119.3,17181.55
1,29,4,8,9,40,0,4,20.5,4711.9
1,30,5,8,6,44,0,2,51.9,2189.12
1,21,3,8,7,44,0,2,26.7,2089.58
2,28,4,2,7,44,0,3,56.4,1335.73
2,26,4,8,7,44,0,3,0.9,1460.96
2,41,6,99,9,30,0,10,246.3,4835.64
1,27,4,8,2,44,0,3,107.9,1047.97
2,30,5,99,9,40,0,10,18.6,3801.15
1,39,5,9,7,14,0,5,15.4,1647.5
1,31,5,9,5,40,0,9,19.4,1074.02
1,17,2,99,7,30,0,10,59.9,1334.51
2,32,5,99,7,40,0,10,4.5,2559.79
1,31,5,99,9,30,0,10,71.7,9076.0
1,46,6,8,7,44,0,9,91.8,2759.97
2,26,4,99,9,30,0,10,7.0,5543.24
1,53,7,99,7,40,0,10,149.6,2232.01
1,51,7,9,2,44,0,2,9.8,1030.64
2,27,4,2,7,44,0,3,22.8,2068.79
1,35,5,8,7,44,0,6,152.2,1478.99
2,48,6,99,9,30,0,9,20.9,6986.09
2,43,6,99,5,36,0,10,214.8,1727.17
2,48,6,99,9,30,0,10,148.5,5909.74
1,45,6,99,7,40,0,9,159.9,8620.82
1,32,5,99,7,40,0,10,111.3,5593.7
2,21,3,9,7,44,0,9,15.1,1286.73
1,26,4,8,6,44,0,2,1.4,773.65
2,25,4,9,7,36,0,4,0.4,570.5
2,36,5,8,9,1,0,5,10.9,436.49
1,34,5,8,7,44,0,9,5.9,1376.34
2,71,8,99,4,40,0,10,328.7,1078.54
1,56,7,4,9,0,0,7,248.9,10134.55
1,51,7,99,9,30,0,7,140.0,3879.12
1,31,5,9,7,44,0,6,15.3,1179.1
1,40,6,8,7,36,0,10,134.5,3145.79
1,32,5,99,7,30,0,10,85.5,4047.57
2,46,6,99,9,40,0,10,181.0,3898.99
2,45,6,4,7,36,0,7,138.7,1727.46
2,36,5,8,7,44,0,8,64.3,1859.11
1,57,7,8,2,44,0,7,62.5,1978.02
1,42,6,8,7,44,0,5,40.9,1066.02
2,48,6,99,7,30,0,10,209.6,2564.34
1,30,5,99,5,40,0,10,45.9,1036.58
2,43,6,8,6,44,1,10,64.1,1123.6
1,24,3,8,5,44,0,6,21.3,880.38
1,30,5,99,9,30,0,10,78.5,5477.34
1,28,4,8,7,44,0,7,28.3,1636.61
1,47,6,2,9,40,0,6,58.9,20428.37
2,35,5,8,7,44,0,8,27.6,1626.01
1,21,3,8,7,44,0,10,1.4,806.44
1,30,5,99,7,44,0,10,52.4,1314.0
2,47,6,8,7,30,0,10,7.6,2769.05
1,49,6,8,6,44,0,3,41.5,1145.25
1,44,6,99,7,30,0,10,59.3,1810.46
1,41,6,99,9,40,0,10,113.0,11737.42
2,26,4,2,7,44,0,4,39.9,1883.07
1,35,5,99,9,40,0,10,78.9,7964.97
1,38,5,2,7,44,0,3,6.4,1940.01
2,41,6,99,9,40,0,8,58.9,6184.87
1,36,5,9,6,44,0,2,22.1,1071.45
2,22,3,8,6,44,0,6,58.4,1970.5
2,22,3,2,7,44,0,9,4.8,1439.71
2,35,5,8,9,44,0,8,125.1,3092.42
1,28,4,2,9,44,0,8,53.8,5426.03
1,49,6,9,6,40,0,10,20.9,1054.65
2,33,5,8,7,44,0,3,59.8,1014.59
1,61,7,8,6,44,0,7,30.1,975.13
2,44,6,99,7,30,0,10,59.9,3228.84
1,39,5,8,7,38,0,10,15.8,2555.15
1,38,5,99,9,40,0,10,105.9,5477.99
2,49,6,99,7,40,0,9,274.9,5553.55
1,36,5,8,4,44,0,3,61.9,1667.35
1,60,7,99,7,30,0,6,226.0,2987.72
1,48,6,8,7,38,0,10,145.8,6217.63
1,50,7,99,7,30,0,9,276.6,5041.21
2,49,6,8,7,44,0,10,16.9,1041.76
2,18,3,9,8,44,0,9,3.7,1146.4
1,48,6,99,7,36,0,8,259.9,2488.59
2,47,6,99,9,20,0,10,205.1,7266.96
2,47,6,8,9,40,0,4,214.2,9873.43
2,22,3,8,7,44,0,3,22.6,1491.08
1,25,4,8,7,44,0,8,28.7,2505.78
1,46,6,2,7,44,0,2,30.5,1380.37
1,49,6,9,7,44,0,3,3.7,1971.78
2,20,3,9,7,44,0,5,16.9,1054.3
1,36,5,99,10,40,0,10,187.9,1969.76
1,48,6,8,4,44,0,3,41.7,1547.63
1,35,5,8,7,36,0,8,99.8,2765.09
2,34,5,8,7,44,0,9,18.7,1993.08
1,35,5,8,2,44,0,9,1.1,1390.06
2,36,5,8,7,44,0,5,37.9,1067.38
2,57,7,99,9,40,0,8,100.3,7829.37
1,24,3,8,7,44,1,7,0.4,598.69
2,61,7,99,9,30,0,10,165.2,6293.27
2,37,5,99,9,30,0,10,27.9,3906.98
1,39,5,8,7,44,0,6,13.9,1039.38
2,32,5,8,9,30,0,6,2.3,2160.19
1,25,4,8,7,44,0,5,24.9,1276.28
1,22,3,2,7,36,0,3,3.9,1250.18
1,39,5,2,7,40,0,7,40.9,1986.54
2,29,4,8,7,22,0,4,39.9,1082.52
1,42,6,8,7,44,0,5,1.5,1415.98
2,43,6,99,7,40,0,10,156.9,3959.11
1,40,6,8,5,44,0,4,41.8,1015.04
1,30,5,8,7,44,0,6,7.9,1373.41
1,28,4,99,9,40,0,10,14.9,2297.69
2,49,6,99,7,30,0,10,204.9,1713.88
1,39,5,8,7,44,0,9,146.1,7760.12
1,34,5,2,7,42,0,7,107.4,3114.19
1,43,6,99,7,40,0,8,299.5,1783.72
1,53,7,8,2,44,0,2,65.9,1388.93
1,28,4,8,9,40,0,6,80.9,2431.96
1,45,6,8,2,44,0,6,4.3,1197.68
1,27,4,8,6,44,0,9,82.9,1778.34
1,46,6,8,2,44,0,5,91.9,1070.32
