sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego
1,59,7,2,4,44,0,7,15.6
1,41,6,8,7,42,0,9,27.8
2,43,6,99,3,44,0,10,225.9
1,28,4,8,7,44,0,5,106.9
1,37,5,9,9,40,0,10,7.9
1,26,4,9,7,44,0,6,7.2
1,45,6,8,7,33,0,9,180.7
2,65,8,8,9,40,0,9,414.9
1,41,6,99,7,30,0,10,182.6
1,22,3,8,9,44,0,8,10.8
2,27,4,2,7,44,0,3,18.9
1,20,3,2,3,44,0,10,14.9
1,43,6,9,5,44,0,3,10.6
2,38,5,99,7,44,0,9,204.9
1,40,6,8,7,44,0,5,48.9
2,66,8,99,4,30,0,9,450.9
2,40,6,99,9,30,0,10,9.3
2,23,3,8,7,44,0,5,42.9
2,24,3,8,7,44,0,9,1.9
2,39,5,8,9,44,0,5,204.6
1,58,7,99,3,44,0,10,263.4
2,61,7,2,8,44,0,5,280.2
1,32,5,99,9,40,0,8,79.6
2,39,5,8,7,36,0,9,223.5
1,37,5,8,5,44,0,9,94.9
2,37,5,99,9,25,0,10,21.9
2,34,5,8,7,44,0,9,18.7
2,24,3,8,7,44,0,8,14.9
2,60,7,99,9,44,0,10,135.3
1,39,5,99,5,44,0,4,175.6
1,32,5,99,9,30,0,10,23.0
1,37,5,9,2,44,0,7,22.9
1,49,6,8,7,44,0,10,58.9
2,63,7,99,5,44,0,9,500.9
2,35,5,99,7,40,0,10,126.0
1,19,3,8,7,44,0,8,8.9
2,64,7,99,5,40,0,9,381.9
2,55,7,99,9,30,0,9,374.9
2,62,7,99,7,30,0,10,59.9
2,29,4,99,7,36,0,10,18.9
2,48,6,99,9,40,0,10,226.8
1,36,5,2,7,44,0,3,40.9
2,28,4,8,7,44,0,7,112.8
1,29,4,2,7,44,0,7,3.9
1,37,5,99,7,30,0,10,180.0
2,57,7,8,7,30,0,3,21.9
1,47,6,9,7,44,0,2,81.8
1,57,7,8,5,44,0,9,38.9
1,43,6,8,9,44,0,4,38.9
1,36,5,99,9,40,0,10,115.1
2,32,5,8,7,44,0,5,11.7
2,42,6,8,4,44,0,8,16.1
1,32,5,8,7,44,0,2,87.4
2,53,7,99,7,40,0,10,315.4
2,68,8,99,5,30,0,10,457.4
2,40,6,9,7,44,0,3,1.7
1,23,3,9,7,44,0,8,11.5
2,32,5,99,8,35,0,10,17.4
1,38,5,9,7,44,0,5,69.9
2,36,5,99,9,30,0,10,100.5
1,46,6,8,4,44,0,7,5.9
2,24,3,8,7,44,0,8,33.9
1,43,6,99,9,35,0,9,59.6
1,42,6,99,9,40,0,10,187.8
2,22,3,99,9,40,0,10,14.9
1,45,6,9,7,44,0,5,4.1
2,52,7,8,7,44,0,9,41.7
1,46,6,99,6,30,0,7,165.3
1,36,5,8,6,44,0,6,19.7
1,38,5,8,5,44,0,8,194.9
1,38,5,99,7,40,0,10,104.4
2,41,6,8,9,36,0,10,61.4
1,29,4,99,7,40,0,9,23.9
2,31,5,9,7,44,0,9,56.4
2,32,5,8,7,44,0,4,28.9
2,35,5,99,7,40,0,10,40.0
1,39,5,8,10,27,0,6,95.2
1,54,7,99,7,30,0,9,328.9
2,36,5,2,9,44,0,5,42.9
1,45,6,99,7,30,0,10,205.9
1,43,6,2,3,44,0,3,247.9
2,40,6,99,9,40,0,8,101.9
1,33,5,99,7,40,0,10,102.5
1,31,5,8,7,44,0,5,50.8
2,42,6,99,9,20,0,9,112.7
1,42,6,8,7,44,0,7,27.9
1,28,4,8,6,44,0,5,18.4
2,31,5,8,7,44,0,7,4.1
1,51,7,99,9,35,0,7,335.1
2,45,6,8,9,20,0,5,70.9
2,35,5,2,9,44,0,3,2.2
2,42,6,9,9,40,0,10,19.3
1,41,6,8,1,44,0,10,5.5
2,47,6,9,9,40,0,10,6.1
1,50,7,99,7,40,0,9,150.9
1,55,7,99,7,40,0,10,279.5
2,49,6,99,9,34,0,10,165.0
1,41,6,2,7,44,0,7,5.5
1,25,4,9,7,44,0,10,36.6
2,56,7,99,4,30,0,10,197.9
2,30,5,99,9,40,0,10,50.2
2,60,7,99,5,40,0,9,201.1
1,51,7,4,2,44,0,10,32.9
1,30,5,2,9,44,0,3,88.9
1,32,5,8,7,40,0,7,6.9
2,67,8,99,4,30,0,10,446.5
1,36,5,4,9,36,0,10,180.5
1,20,3,8,7,44,0,6,7.7
2,40,6,8,3,44,0,3,85.9
1,43,6,8,5,44,0,7,21.4
2,70,8,99,7,30,0,10,345.8
2,45,6,99,9,30,0,10,103.5
2,50,7,99,9,40,0,10,215.1
1,52,7,99,8,40,0,10,96.8
2,59,7,99,7,40,0,7,371.9
1,24,3,99,9,30,0,10,19.2
1,69,8,99,7,30,0,10,405.4
1,42,6,99,7,40,0,8,165.2
1,25,4,9,5,44,0,3,10.8
1,40,6,99,9,30,0,10,146.9
2,19,3,8,6,20,0,9,14.2
2,58,7,8,3,44,0,10,176.9
1,28,4,8,7,44,0,9,10.4
2,42,6,99,9,40,0,8,166.8
2,52,7,99,6,40,0,7,233.9
1,34,5,8,7,44,0,5,17.1
1,40,6,99,7,40,0,10,57.4
1,29,4,8,7,44,0,8,85.0
1,39,5,9,7,36,0,5,108.9
2,43,6,99,7,20,0,8,141.9
1,53,7,8,7,30,0,7,191.9
2,35,5,99,9,40,0,8,148.3
1,52,7,8,8,44,0,2,31.9
2,51,7,8,7,30,0,10,32.6
1,34,5,8,7,44,0,9,91.5
1,43,6,99,9,30,0,10,162.8
2,34,5,8,7,44,0,2,61.9
1,34,5,8,2,44,0,7,5.4
2,42,6,8,7,44,0,10,42.3
1,41,6,8,4,36,0,8,5.9
2,36,5,8,7,44,0,3,6.2
2,27,4,8,7,22,0,5,32.2
1,21,3,8,5,44,0,4,11.0
1,28,4,8,7,44,0,9,17.9
2,57,7,99,9,20,0,9,130.8
2,33,5,8,7,44,0,9,21.9
1,39,5,8,7,42,0,6,69.4
2,33,5,9,7,44,0,2,26.5
1,38,5,99,9,40,0,10,120.0
1,20,3,8,7,44,0,2,21.1
1,55,7,8,7,44,0,4,75.9
1,26,4,8,7,44,0,4,1.0
1,53,7,99,9,40,0,10,212.2
2,31,5,99,9,30,0,10,58.5
1,45,6,8,7,40,1,8,13.4
1,44,6,8,2,44,0,5,0.7
1,23,3,8,7,43,0,6,32.2
2,36,5,4,7,44,0,3,27.8
1,56,7,99,7,40,0,10,248.6
1,48,6,8,7,44,0,5,13.9
1,46,6,8,7,44,0,5,60.9
1,50,7,9,9,40,0,10,0.5
1,40,6,99,7,30,0,9,106.9
1,28,4,99,5,40,0,10,76.2
2,39,5,99,9,40,0,10,118.0
1,25,4,8,7,42,0,4,1.3
2,30,5,2,7,44,0,4,109.4
2,53,7,99,9,30,0,10,245.2
1,40,6,8,5,44,0,7,68.8
1,37,5,8,9,40,0,8,6.4
1,39,5,8,7,44,0,5,103.9
2,22,3,9,7,44,0,3,19.9
1,50,7,9,7,44,0,3,15.6
1,21,3,8,6,44,0,9,4.1
1,51,7,8,7,44,0,7,28.2
1,22,3,9,7,44,0,5,16.5
1,42,6,99,9,40,0,10,189.9
1,43,6,8,7,44,0,8,23.9
1,40,6,8,7,42,0,10,5.3
1,37,5,9,7,44,0,5,39.8
1,43,6,99,9,40,0,10,125.1
2,48,6,99,9,25,0,10,9.9
2,36,5,8,7,44,0,10,7.7
2,32,5,2,7,42,0,5,124.4
1,28,4,8,7,44,0,5,45.9
2,21,3,2,6,20,0,8,10.9
1,24,3,8,8,44,0,5,10.8
2,33,5,99,9,40,0,10,133.6
2,27,4,8,7,44,0,4,11.5
2,53,7,8,9,44,0,2,158.9
1,62,7,8,5,44,0,6,17.8
1,32,5,9,7,44,0,4,78.2
2,27,4,8,7,44,0,4,4.3
2,39,5,99,9,44,0,10,0.9
2,30,5,8,9,44,0,6,16.9
1,41,6,99,7,30,0,10,173.6
1,42,6,8,6,44,0,8,176.9
2,15,2,9,3,20,0,6,2.9
2,51,7,99,7,40,0,10,154.3
2,36,5,8,9,44,0,2,40.2
2,36,5,99,9,44,0,10,9.9
2,34,5,8,7,44,0,8,5.7
2,41,6,99,11,40,0,10,142.5
2,56,7,99,7,30,0,9,198.2
1,24,3,8,7,44,0,5,2.3
1,42,6,8,3,44,0,4,1.4
1,36,5,8,2,44,0,10,8.2
1,31,5,8,7,44,0,9,56.3
1,41,6,8,7,44,0,4,0.9
1,23,3,9,7,44,0,8,3.9
2,53,7,99,7,40,0,10,270.9
1,39,5,99,9,30,0,9,173.6
1,49,6,99,7,30,0,3,190.9
1,21,3,8,6,44,0,10,6.2
2,46,6,9,7,44,0,10,20.8
1,67,8,99,4,40,0,10,462.9
1,31,5,8,7,44,0,6,31.2
1,38,5,8,4,44,0,9,48.8
1,55,7,99,7,44,0,9,180.9
2,20,3,9,7,44,0,2,29.1
2,31,5,8,7,44,1,6,17.4
2,24,3,8,7,44,0,5,10.9
1,36,5,8,7,44,0,5,70.6
2,42,6,99,7,40,0,10,113.0
1,25,4,8,7,44,0,4,14.9
1,52,7,9,7,44,0,3,15.9
2,34,5,9,7,44,0,2,19.9
2,32,5,99,9,30,0,8,48.1
1,52,7,2,9,44,0,8,209.3
1,19,3,2,6,20,0,7,2.8
2,38,5,2,7,44,0,3,19.9
2,22,3,9,7,44,1,7,36.9
1,21,3,8,7,44,0,7,9.9
2,32,5,8,7,40,0,6,54.9
1,56,7,8,7,44,0,8,3.9
2,47,6,99,9,40,0,10,184.9
1,26,4,8,8,44,0,2,52.9
1,37,5,4,7,44,0,7,24.9
1,33,5,8,7,44,0,8,3.2
2,40,6,99,9,40,0,10,154.6
1,26,4,9,7,44,0,6,17.4
2,30,5,2,9,31,0,7,3.8
2,37,5,99,9,40,0,10,61.1
1,31,5,99,7,40,0,10,92.1
2,58,7,99,5,30,0,10,177.0
2,69,8,99,4,40,0,10,390.9
2,25,4,8,7,44,0,8,25.2
1,45,6,2,5,44,0,10,38.2
1,37,5,8,7,42,0,10,171.5
2,40,6,99,9,30,0,9,163.4
2,37,5,2,9,30,0,7,85.8
1,45,6,9,7,44,0,6,20.9
2,46,6,99,9,40,0,10,22.7
1,26,4,9,9,25,0,10,6.2
2,37,5,2,9,44,0,6,10.8
2,63,7,99,7,40,0,10,424.5
2,35,5,99,7,30,0,10,125.1
1,46,6,2,9,44,0,9,215.4
1,29,4,8,7,38,0,10,17.0
1,21,3,8,7,44,0,10,1.4
2,42,6,8,7,44,0,8,131.5
1,53,7,8,7,44,0,8,73.9
2,43,6,99,9,27,0,8,274.4
2,45,6,99,7,44,0,9,4.9
2,37,5,4,8,44,0,2,35.9
1,40,6,8,4,44,0,3,139.8
2,28,4,8,7,44,0,6,126.9
2,46,6,8,7,44,0,4,86.9
1,30,5,2,9,44,0,9,54.7
1,33,5,8,6,0,0,7,14.5
1,41,6,99,1,44,0,8,11.9
2,60,7,99,9,25,0,10,188.7
1,36,5,2,8,44,0,5,35.8
2,48,6,99,5,30,0,10,259.3
1,26,4,9,7,44,0,4,3.9
1,20,3,8,7,44,0,7,5.6
2,49,6,99,9,40,0,10,199.9
2,25,4,8,9,44,0,7,2.4
1,55,7,2,7,44,0,8,2.5
1,38,5,8,9,44,0,9,23.3
1,40,6,8,7,44,0,5,25.9
2,19,3,8,8,20,0,6,6.2
2,30,5,99,7,40,0,10,107.1
1,28,4,8,4,44,0,6,33.3
2,25,4,8,7,44,0,6,13.8
1,38,5,99,9,40,0,10,81.7
2,34,5,9,7,36,0,6,13.3
1,38,5,99,7,40,0,10,84.8
2,36,5,99,6,30,0,10,44.6
2,56,7,99,7,40,0,9,354.9
1,23,3,9,7,44,0,5,54.9
1,21,3,8,5,44,0,3,2.9
1,35,5,2,2,44,0,5,5.9
1,50,7,8,7,44,0,7,106.9
2,37,5,99,9,30,0,8,86.5
1,40,6,8,2,44,0,4,5.8
2,51,7,8,9,44,0,6,100.9
2,38,5,8,7,33,0,7,24.9
1,45,6,8,7,44,0,7,17.8
1,54,7,8,7,44,0,2,6.2
1,33,5,4,7,44,0,5,14.2
1,46,6,8,9,44,0,9,167.1
1,21,3,8,7,44,0,5,13.1
2,28,4,8,4,36,0,9,36.6
2,36,5,8,9,44,0,7,116.6
2,20,3,2,7,44,0,4,5.7
2,53,7,99,7,30,0,10,7.5
1,26,4,8,6,44,0,8,64.8
1,30,5,8,7,44,0,6,5.3
2,26,4,8,8,44,0,4,10.9
1,22,3,2,8,44,0,2,10.5
2,30,5,8,7,44,0,9,30.9
2,59,7,99,9,40,0,10,386.8
1,43,6,8,7,44,0,4,0.9
2,38,5,4,7,44,0,9,187.8
1,50,7,8,7,44,0,10,5.3
2,50,7,99,9,20,0,10,169.4
2,34,5,99,7,30,0,10,78.0
1,36,5,8,7,44,0,9,16.1
2,38,5,8,9,40,0,9,135.9
1,59,7,99,7,30,0,10,149.9
1,63,7,8,2,44,0,4,23.9
2,36,5,8,7,36,0,8,38.9
1,58,7,99,7,40,0,10,47.4
2,58,7,99,2,30,0,10,298.5
1,30,5,8,4,44,0,9,16.3
2,35,5,99,9,35,0,9,78.4
1,27,4,99,7,30,0,10,38.8
2,18,3,8,6,20,0,7,10.6
2,40,6,8,7,38,0,10,19.0
2,46,6,99,9,34,0,10,166.7
1,31,5,8,9,44,0,7,41.6
2,35,5,8,9,18,0,5,93.9
1,44,6,8,6,44,0,6,12.6
1,32,5,99,7,40,0,10,111.3
1,35,5,9,7,44,0,3,49.9
1,23,3,9,8,44,0,4,63.9
2,65,8,99,7,40,0,10,11.9
1,30,5,8,6,44,0,3,44.4
2,47,6,99,7,40,0,10,177.7
1,45,6,99,9,30,0,10,79.6
1,29,4,99,7,40,0,10,121.6
2,48,6,99,7,40,0,9,166.2
1,28,4,8,5,44,0,10,56.1
1,21,3,8,2,44,0,10,2.8
2,31,5,8,4,44,0,7,17.9
1,51,7,8,4,44,0,4,18.9
2,30,5,8,7,44,0,5,39.1
1,40,6,8,7,0,0,8,0.8
2,26,4,8,7,44,0,6,38.9
1,53,7,8,4,44,0,7,60.7
1,36,5,8,7,44,0,6,16.3
2,38,5,99,5,30,0,10,46.3
1,49,6,99,7,36,0,10,180.5
2,66,8,99,2,40,0,10,443.5
1,45,6,99,7,44,0,9,10.9
2,29,4,9,7,44,0,5,41.6
1,39,5,99,9,40,0,9,74.0
1,45,6,99,9,30,0,10,84.5
2,42,6,99,9,40,0,10,79.8
1,25,4,8,7,44,0,5,76.4
2,42,6,2,7,44,0,5,95.9
2,46,6,99,9,30,0,10,76.8
2,47,6,99,6,44,0,8,69.6
2,32,5,8,7,44,0,7,13.8
1,29,4,99,9,40,0,7,12.3
2,32,5,8,7,44,0,10,8.9
1,62,7,8,5,44,0,5,86.9
2,31,5,4,9,44,0,6,79.8
1,33,5,9,7,13,0,4,33.3
2,51,7,99,9,40,0,10,341.3
2,46,6,99,9,40,0,8,160.1
2,61,7,9,7,44,0,3,224.9
1,38,5,8,7,44,0,3,18.9
1,27,4,8,6,44,0,4,30.1
1,18,3,8,6,44,0,6,0.7
2,36,5,9,9,44,0,2,10.5
1,33,5,8,7,44,0,10,23.2
1,22,3,2,7,44,0,10,28.5
2,47,6,99,9,30,0,10,181.2
1,23,3,8,7,44,0,4,35.2
1,40,6,8,7,0,0,7,11.7
2,43,6,8,7,44,0,7,128.3
2,24,3,9,2,40,0,10,12.0
1,31,5,99,5,40,0,10,125.0
2,44,6,8,7,40,1,6,74.5
1,38,5,99,9,44,0,9,142.0
2,35,5,99,7,44,0,9,41.9
1,24,3,8,5,44,0,5,28.3
2,20,3,8,7,44,0,8,4.1
2,30,5,9,7,44,0,8,25.3
1,26,4,2,9,44,0,2,20.9
1,22,3,8,7,44,0,7,2.4
2,35,5,99,7,30,0,10,11.6
1,28,4,8,5,44,0,8,92.7
2,30,5,99,9,40,0,10,20.4
1,39,5,8,7,44,0,2,21.9
2,32,5,8,7,44,0,7,4.6
1,37,5,8,7,44,0,3,12.9
1,23,3,8,7,42,0,10,16.3
1,23,3,8,7,44,1,8,14.3
2,48,6,2,4,44,0,3,118.9
1,24,3,4,7,44,0,10,16.8
1,22,3,9,7,44,0,3,27.8
1,31,5,9,7,44,0,7,35.3
1,64,7,8,6,44,0,7,26.7
2,28,4,9,7,44,0,3,43.9
2,34,5,99,7,40,0,9,6.9
2,39,5,8,7,44,0,7,173.5
1,43,6,8,9,44,0,8,50.9
1,27,4,8,5,44,0,5,0.9
1,28,4,8,7,44,0,8,4.1
1,28,4,8,7,44,0,7,49.2
1,52,7,8,5,44,0,9,154.9
1,23,3,8,9,42,0,10,19.8
2,27,4,9,7,44,0,4,18.8
1,28,4,8,7,44,0,7,1.8
1,57,7,99,9,30,0,9,368.8
1,40,6,8,7,44,0,9,17.7
1,34,5,2,9,44,0,7,52.9
1,45,6,8,7,44,0,4,21.8
2,30,5,8,7,44,0,3,25.8
2,55,7,8,7,44,0,3,53.9
2,36,5,8,7,44,0,8,23.2
2,47,6,99,7,40,0,10,123.6
1,37,5,99,7,30,0,10,80.7
1,48,6,99,5,40,0,10,4.2
1,46,6,99,4,30,0,10,129.2
1,28,4,8,4,44,0,7,19.9
1,24,3,8,7,44,0,3,16.3
2,32,5,8,4,44,0,5,21.9
1,26,4,8,7,44,0,7,17.8
2,69,8,99,9,40,0,10,173.0
1,30,5,9,5,44,0,4,10.9
2,32,5,8,7,44,0,9,57.9
2,41,6,9,9,44,0,4,40.9
1,19,3,9,7,44,0,5,14.3
2,45,6,99,9,40,0,10,141.4
2,57,7,99,9,40,0,10,450.9
1,36,5,99,9,20,0,10,9.9
2,39,5,99,9,44,0,10,57.9
1,28,4,8,7,36,0,7,5.6
2,38,5,8,7,44,0,10,34.8
1,25,4,8,7,44,0,8,27.4
1,21,3,4,7,44,0,7,4.5
1,41,6,8,3,44,0,2,103.9
2,33,5,2,7,44,0,4,9.3
1,36,5,99,5,30,0,10,146.3
2,29,4,2,7,44,0,5,15.6
1,32,5,9,7,44,0,6,2.9
2,26,4,8,9,40,0,10,5.9
1,55,7,99,3,30,0,10,237.9
1,49,6,2,6,33,0,8,14.7
2,46,6,8,7,44,0,6,48.9
2,49,6,99,7,40,0,7,211.8
2,44,6,99,2,40,0,10,215.2
1,26,4,2,7,44,0,9,42.5
2,47,6,99,9,40,0,10,222.6
1,21,3,8,7,44,0,7,13.8
1,21,3,8,6,44,0,2,36.9
1,50,7,99,9,30,0,10,161.0
2,57,7,99,9,20,0,10,416.9
1,42,6,6,5,44,0,5,16.2
2,38,5,99,7,30,0,10,160.3
1,35,5,8,7,44,0,10,40.9
1,43,6,99,7,40,0,8,6.8
2,37,5,2,10,6,0,8,34.9
2,45,6,2,7,44,1,3,34.3
2,35,5,8,9,44,0,4,23.2
1,21,3,8,7,44,0,5,0.4
1,33,5,8,7,44,0,9,5.3
1,19,3,8,6,22,0,4,13.8
2,38,5,8,9,30,0,5,12.4
1,46,6,99,6,40,0,8,334.9
1,18,3,4,4,41,0,7,0.5
2,42,6,9,7,44,0,2,33.9
1,38,5,8,5,44,0,8,4.9
1,29,4,9,5,44,0,3,35.8
1,32,5,2,5,44,0,8,17.4
2,22,3,9,7,44,0,5,3.9
2,36,5,8,7,44,0,7,14.7
1,45,6,8,9,42,0,10,232.8
1,39,5,8,7,44,0,8,4.2
2,21,3,99,8,30,0,8,4.9
1,35,5,8,4,44,0,9,46.7
1,25,4,8,7,44,0,10,11.2
2,51,7,99,9,40,0,7,47.9
2,47,6,9,9,40,0,10,9.9
2,18,3,9,7,36,0,3,1.1
1,32,5,2,7,44,0,3,24.9
1,36,5,8,7,40,0,10,54.4
2,36,5,99,7,40,0,8,175.4
1,23,3,8,7,44,0,7,10.1
1,55,7,9,1,44,0,2,5.3
2,30,5,9,9,40,0,10,10.9
2,52,7,99,7,30,0,6,214.9
2,29,4,99,9,30,0,10,16.0
1,20,3,99,6,40,0,10,10.4
1,21,3,8,8,42,0,10,20.7
2,44,6,99,9,40,0,10,225.9
1,45,6,4,7,36,0,8,124.6
2,37,5,8,4,44,0,10,156.9
1,20,3,9,5,44,0,7,15.6
2,31,5,8,7,44,0,6,33.3
2,36,5,2,9,40,0,7,174.9
1,17,2,99,7,30,0,10,59.9
2,43,6,2,9,44,0,7,9.4
1,56,7,1,7,44,0,6,41.9
2,37,5,4,5,44,0,8,15.9
1,30,5,8,4,44,0,7,6.8
2,49,6,4,9,42,0,6,229.5
1,67,8,99,2,36,0,10,11.9
1,54,7,8,5,44,0,6,10.9
2,50,7,99,7,36,0,9,52.9
1,30,5,9,7,44,0,7,11.0
1,45,6,99,7,40,0,9,198.9
1,35,5,8,7,44,0,7,25.1
1,26,4,99,5,40,0,10,12.2
1,30,5,8,7,44,0,3,4.1
1,57,7,99,7,40,0,7,108.2
1,43,6,99,11,25,0,7,212.5
2,40,6,4,4,44,0,4,18.1
1,24,3,2,7,44,0,6,23.2
2,47,6,8,5,44,0,4,8.7
2,26,4,99,7,44,0,10,19.9
1,34,5,8,2,44,0,9,4.6
2,29,4,8,7,44,0,3,50.9
1,60,7,8,7,44,0,2,61.9
1,62,7,9,4,44,0,8,13.3
1,36,5,99,7,44,0,9,144.2
1,55,7,8,5,44,0,7,88.9
2,38,5,8,5,44,0,3,10.9
1,49,6,8,4,44,0,2,82.9
1,25,4,2,6,44,0,7,69.8
1,33,5,8,7,44,0,8,41.4
2,40,6,8,7,44,0,8,18.4
2,26,4,8,7,44,0,5,0.9
1,30,5,8,7,44,0,7,4.9
1,34,5,2,7,44,0,3,39.9
2,41,6,9,7,40,0,9,66.7
2,37,5,2,9,44,1,10,82.6
2,48,6,8,7,44,0,8,170.6
1,22,3,9,8,44,0,7,2.9
1,27,4,8,5,44,0,3,119.2
1,19,3,2,7,30,0,9,0.6
2,39,5,8,7,42,0,9,97.9
2,50,7,2,7,31,0,7,3.6
2,40,6,99,7,40,0,10,20.9
2,26,4,2,1,36,0,2,12.9
2,29,4,8,7,44,0,5,2.9
1,27,4,9,4,44,0,7,5.9
1,35,5,8,3,44,0,7,46.8
2,47,6,99,9,20,0,10,208.8
2,44,6,99,8,44,0,9,224.9
2,35,5,2,7,44,0,7,101.9
1,31,5,99,7,40,0,9,28.9
1,54,7,8,5,44,0,6,202.9
2,34,5,99,7,40,0,9,8.9
1,22,3,2,7,44,0,3,1.9
2,26,4,2,8,40,0,5,65.5
1,58,7,8,7,44,0,10,65.9
1,49,6,8,6,44,0,4,1.4
2,50,7,99,10,40,0,10,386.8
1,41,6,8,6,44,0,5,26.9
1,33,5,8,3,44,0,10,160.7
1,32,5,8,7,44,1,7,41.8
1,37,5,8,7,44,0,2,103.9
2,46,6,99,9,40,0,10,295.5
1,32,5,8,7,44,0,7,73.6
1,44,6,8,2,44,0,6,24.8
1,57,7,99,5,30,0,10,419.9
1,47,6,9,9,44,0,5,67.8
1,33,5,99,8,30,0,10,10.9
1,46,6,9,7,44,0,2,64.9
2,58,7,8,7,44,0,5,76.9
2,61,7,99,7,30,0,10,296.9
1,32,5,8,6,44,0,6,56.9
1,35,5,8,7,44,0,9,122.8
1,42,6,99,7,30,0,10,56.1
2,23,3,2,7,36,0,8,6.3
1,57,7,99,7,40,0,5,302.9
1,53,7,99,9,20,0,10,199.9
1,37,5,99,9,40,0,10,128.7
1,25,4,8,7,36,0,10,7.5
1,34,5,2,9,44,0,7,106.9
2,32,5,8,7,44,0,9,51.5
1,37,5,9,7,44,0,5,34.8
1,62,7,99,9,30,0,9,8.4
2,37,5,8,7,44,0,3,18.6
1,26,4,8,5,44,0,5,62.5
2,63,7,99,7,40,0,10,386.8
1,43,6,8,7,44,0,9,210.4
2,48,6,99,7,40,0,9,260.0
2,31,5,8,7,44,0,3,54.9
1,31,5,9,7,44,0,6,34.9
1,43,6,2,7,34,0,7,112.2
1,25,4,9,7,44,0,8,2.7
2,52,7,99,2,44,0,10,179.9
1,42,6,99,7,40,0,8,148.0
2,53,7,99,9,30,0,10,220.9
1,33,5,99,7,40,0,9,77.6
1,43,6,9,7,44,0,7,41.6
1,47,6,6,6,44,0,2,14.8
1,34,5,8,7,44,0,8,7.7
2,44,6,8,7,44,0,3,61.9
2,40,6,2,9,30,0,3,186.1
2,43,6,99,9,30,0,10,20.7
2,41,6,99,7,44,0,7,23.9
2,36,5,8,7,44,0,3,81.9
1,48,6,99,7,30,0,10,151.1
2,48,6,99,7,30,0,10,180.5
1,40,6,8,7,44,0,5,83.9
2,26,4,8,9,44,0,2,1.9
1,32,5,2,4,44,0,2,157.9
1,34,5,8,7,44,0,5,9.4
1,35,5,8,7,44,0,8,15.8
2,47,6,8,8,44,0,5,0.2
2,35,5,8,7,44,0,8,30.5
1,26,4,99,7,30,0,10,38.8
2,28,4,99,9,40,0,8,10.9
1,49,6,2,10,12,0,7,88.9
2,45,6,99,6,40,0,10,233.6
2,44,6,8,7,44,0,8,175.6
1,47,6,8,5,44,0,7,17.9
2,33,5,8,5,44,0,10,79.9
1,54,7,99,9,40,0,10,118.0
1,40,6,8,7,44,0,10,14.5
1,41,6,8,7,40,0,5,102.6
1,32,5,8,7,44,0,8,65.9
1,51,7,8,6,44,0,7,2.0
1,33,5,99,7,40,0,8,49.2
2,58,7,99,9,40,0,10,231.9
2,43,6,99,9,40,0,10,215.0
1,28,4,8,6,44,0,9,101.9
2,34,5,8,7,44,0,5,61.3
1,42,6,8,7,35,0,2,20.6
1,48,6,8,7,44,0,7,106.5
2,30,5,2,7,44,0,10,83.6
1,28,4,8,9,44,0,8,32.9
1,34,5,99,11,30,0,9,25.0
1,56,7,99,4,36,0,10,154.1
1,36,5,8,7,40,0,10,29.5
1,28,4,8,5,44,0,6,19.1
1,40,6,8,2,44,0,8,1.4
2,31,5,99,9,40,0,7,31.0
2,46,6,99,9,30,0,10,107.6
2,42,6,8,2,44,0,2,0.9
1,44,6,2,7,44,0,7,113.9
2,43,6,99,9,40,0,10,106.5
1,37,5,99,9,40,0,9,111.9
2,61,7,99,7,30,0,10,237.9
1,44,6,9,9,44,0,8,19.3
2,26,4,8,5,44,0,2,72.9
1,19,3,9,7,44,0,6,0.9
2,45,6,8,7,44,0,10,10.8
2,21,3,2,7,44,0,4,2.3
1,43,6,99,4,36,0,8,214.1
2,46,6,8,8,36,0,10,109.9
2,47,6,99,9,30,0,10,322.9
2,64,7,99,7,30,0,10,494.5
2,67,8,99,5,30,0,10,383.9
1,44,6,8,5,44,0,2,18.0
1,48,6,8,6,44,0,7,26.0
1,21,3,8,7,36,0,4,3.9
1,32,5,8,7,44,0,5,17.0
2,54,7,99,9,24,0,10,34.7
2,32,5,8,10,44,0,8,41.4
1,39,5,8,2,44,0,4,83.3
2,39,5,99,9,30,0,10,58.5
2,30,5,9,7,44,0,10,9.9
1,26,4,9,7,44,0,3,10.9
1,62,7,99,7,40,0,10,423.6
1,43,6,9,7,44,0,8,13.3
1,38,5,8,5,44,0,3,117.5
1,35,5,8,9,0,0,8,38.9
1,56,7,99,5,40,0,8,227.7
1,42,6,2,7,44,0,10,138.4
1,50,7,8,2,44,0,5,11.9
1,47,6,4,7,44,0,9,17.6
2,39,5,9,9,44,0,7,13.1
2,37,5,8,7,44,0,2,1.1
1,37,5,99,7,36,0,10,177.9
1,25,4,2,5,28,0,9,17.1
1,42,6,8,4,44,0,6,21.4
2,43,6,99,9,20,0,10,40.9
2,60,7,99,9,40,0,10,405.4
1,22,3,8,6,44,0,9,40.9
1,24,3,9,7,36,0,5,1.4
1,42,6,9,7,44,0,2,10.6
2,44,6,99,9,30,0,10,181.4
2,27,4,99,7,40,0,7,47.9
1,26,4,8,7,44,0,3,13.5
1,42,6,8,7,44,0,10,0.9
1,41,6,4,7,44,0,10,28.7
2,50,7,99,5,40,0,10,234.8
2,39,5,8,9,30,0,2,38.9
